abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;15;3;12;983;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;785;265;1;47652903;34
AS;only;15;3;13;983;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;785;265;1;47652903;34
AS;only;15;3;14;1010;1.0;0.8862876254180602;0.9397163120567376;42;223;787;265;0;47652904;34
AS;only;20;1;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;20;1;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;20;1;2;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
AS;only;20;1;3;78;0.9887640449438202;0.5886287625418061;0.7379454926624739;106;72;6;176;2;47652902;123
AS;only;20;1;4;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;20;1;5;105;0.9896907216494846;0.6421404682274248;0.7789046653144017;106;88;17;192;2;47652902;107
AS;only;20;1;6;390;0.9900497512437811;0.6655518394648829;0.796;105;96;294;199;2;47652902;100
AS;only;20;1;7;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;20;1;8;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;20;1;9;400;0.9903846153846154;0.6889632107023411;0.8126232741617356;103;105;295;206;2;47652902;93
AS;only;20;1;10;578;0.991869918699187;0.8160535117056856;0.8954128440366973;100;146;432;244;2;47652902;55
AS;only;20;1;11;608;0.9959183673469387;0.8160535117056856;0.8970588235294118;70;175;433;244;1;47652903;55
AS;only;20;1;12;950;0.996031746031746;0.8394648829431438;0.911070780399274;70;182;768;251;1;47652903;48
AS;only;20;1;13;975;0.996031746031746;0.8394648829431438;0.911070780399274;70;182;793;251;1;47652903;48
AS;only;20;1;14;1005;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;810;264;1;47652903;35
AS;only;20;1;15;1008;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;810;265;1;47652903;34
AS;only;20;1;16;1008;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;810;265;1;47652903;34
AS;only;20;1;17;1065;1.0;0.8896321070234113;0.9415929203539823;57;209;856;266;0;47652904;33
AS;only;20;1;18;1083;1.0;0.8896321070234113;0.9415929203539823;57;209;874;266;0;47652904;33
AS;only;20;1;19;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
AS;only;20;2;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;20;2;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;20;2;2;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
AS;only;20;2;3;78;0.9887640449438202;0.5886287625418061;0.7379454926624739;106;72;6;176;2;47652902;123
AS;only;20;2;4;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;20;2;5;105;0.9896907216494846;0.6421404682274248;0.7789046653144017;106;88;17;192;2;47652902;107
AS;only;20;2;6;108;0.9896907216494846;0.6421404682274248;0.7789046653144017;103;91;17;192;2;47652902;107
AS;only;20;2;7;108;0.9896907216494846;0.6421404682274248;0.7789046653144017;103;91;17;192;2;47652902;107
AS;only;20;2;8;297;0.9917355371900827;0.802675585284281;0.8872458410351202;100;142;155;240;2;47652902;59
AS;only;20;2;9;300;0.9918367346938776;0.8127090301003345;0.8933823529411764;100;145;155;243;2;47652902;56
AS;only;20;2;10;319;0.9922779922779923;0.8595317725752508;0.9211469534050178;100;159;160;257;2;47652902;42
AS;only;20;2;11;349;0.9961240310077519;0.8595317725752508;0.9228007181328546;70;188;161;257;1;47652903;42
AS;only;20;2;12;719;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;525;263;1;47652903;36
AS;only;20;2;13;750;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;556;263;1;47652903;36
AS;only;20;2;14;763;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;568;264;1;47652903;35
AS;only;20;2;15;766;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;568;265;1;47652903;34
AS;only;20;2;16;766;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;568;265;1;47652903;34
AS;only;20;2;17;826;1.0;0.8896321070234113;0.9415929203539823;57;209;617;266;0;47652904;33
AS;only;20;2;18;844;1.0;0.8896321070234113;0.9415929203539823;57;209;635;266;0;47652904;33
AS;only;20;2;19;862;1.0;0.8896321070234113;0.9415929203539823;39;227;635;266;0;47652904;33
AS;only;20;3;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;20;3;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;20;3;2;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
AS;only;20;3;3;78;0.9887640449438202;0.5886287625418061;0.7379454926624739;106;72;6;176;2;47652902;123
AS;only;20;3;4;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;20;3;5;105;0.9896907216494846;0.6421404682274248;0.7789046653144017;106;88;17;192;2;47652902;107
AS;only;20;3;6;390;0.9900497512437811;0.6655518394648829;0.796;105;96;294;199;2;47652902;100
AS;only;20;3;7;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;20;3;8;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;20;3;9;400;0.9903846153846154;0.6889632107023411;0.8126232741617356;103;105;295;206;2;47652902;93
AS;only;20;3;10;578;0.991869918699187;0.8160535117056856;0.8954128440366973;100;146;432;244;2;47652902;55
AS;only;20;3;11;578;0.991869918699187;0.8160535117056856;0.8954128440366973;100;146;432;244;2;47652902;55
AS;only;20;3;12;596;0.9922779922779923;0.8595317725752508;0.9211469534050178;100;159;437;257;2;47652902;42
AS;only;20;3;13;596;0.9922779922779923;0.8595317725752508;0.9211469534050178;100;159;437;257;2;47652902;42
AS;only;20;3;14;626;0.9961240310077519;0.8595317725752508;0.9228007181328546;70;188;438;257;1;47652903;42
AS;only;20;3;15;640;0.9961538461538462;0.8662207357859532;0.9266547406082289;70;190;450;259;1;47652903;40
AS;only;20;3;16;643;0.9961685823754789;0.8695652173913043;0.9285714285714286;68;193;450;260;1;47652903;39
